Team;Democrat;Independent;Republican
Arizona Cardinals;39;71;38
Atlanta Falcons;59;75;54
Baltimore Ravens;56;65;29
Buffalo Bills;22;46;24
Carolina Panthers;51;64;49
Chicago Bears;94;129;62
Cincinnati Bengals;37;32;37
Cleveland Browns;34;42;29
Dallas Cowboys;128;170;140
Denver Broncos;100;122;91
Detroit Lions;50;59;24
Green Bay Packers;171;230;125
Houston Texans;41;70;49
Indianapolis Colts;37;54;31
Jacksonville Jaguars;11;18;12
Kansas City Chiefs;37;57;36
Los Angeles Rams;31;39;27
Miami Dolphins;51;66;39
Minnesota Vikings;51;63;39
New England Patriots;108;171;96
New Orleans Saints;94;125;60
New York Giants;95;94;50
New York Jets;57;60;35
Oakland Raiders;67;86;46
Philadelphia Eagles;70;73;44
Pittsburgh Steelers;97;146;96
Los Angeles Chargers;53;64;36
San Francisco 49ers;103;105;47
Seattle Seahawks;125;146;74
Tampa Bay Buccaneers;26;43;36
Tennessee Titans;26;37;27
Washington Redskins;45;59;35
Grand Total;2066;2681;1617
